2003,愚子售药人有初开药肆者一日他出①令其子守铺遇客买牛膝并鸡爪黄连②子愚不识药遍索笥（sì）③中无所有乃割己耕牛一足斫二鸡脚售之父归问卖何药询知前事大笑发叹曰：“客若要知母贝母④时岂不连汝母亲抬去了！”[注释]①出：外出②牛膝并鸡爪黄连：牛膝、鸡爪黄连都是中药名③笥：盛物的方形竹器④知母贝母：知母、贝母是中药名读完这个故事之后很多同学都笑了笑过之后同学们陷入了沉思作为同学中的一员你想到了什么呢
2005,《毛诗·大序》载：“诗者志之所之也在心为志发言为诗”辛弃疾在《破阵子·为陈同甫赋壮词以寄之》中借“①②”抒发词人渴望为国建功立业的豪情壮志；文天祥在《过零丁洋》中借“人生自古谁无死③”表达诗人甘愿为国慷慨赴死的豪迈之情
2006,阅读文章联系积累选出语境中加点字读音不正确的一项A、桂花还没有开却有了累（léi）累的骨朵儿了B、我常给他画漫画勾一个轮廓中间点上两块椭圆形的黑块便惟妙惟肖(xiāo)C、他情不自禁（jīn）地把手掌挨近自己的眼睛D、“这布是华丽的！精致的！无双的！”每个人都随声附和（hè）着
2007,《海底两万里》中尼摩船长和阿龙纳斯在海底环球探险旅行时经历了许多险情但他们都凭借自身的智慧闯过了一道道难关请概括出你印象最深的一次险情并谈谈你从他们战胜险情的过程中获得的有益启示
2010,如果申遗成功你打算怎样保护南街的胡同文化
2011,阅读《山居秋暝》完成下列15题山居秋暝王维空山新雨后天气晚来秋明月松间照清泉石上流竹喧归浣女莲动下渔舟随意春芳歇王孙自可留在田字格内用正楷字抄写《山居秋暝》首联
2014,根据语境用古诗文填空海绵城市的建设就是要留住水带给城市的美：我们可以在夕阳中看王勃笔下“云销雨霁①落霞与孤鹜齐飞②”的美景；我们可以像苏轼那样在既望之夜泛舟江上感受“清风徐来③”“白露横江④”的意境城市生态环境优化让我们感受到不仅是环境的优美更能体会到一种美的意境
2015,阅读下文回答问题近日中国科学院物理所为迎接90周年所庆特别策划了一次井盖涂鸦活动精选了物理学中核心的24个公式进行设计并且以涂鸦的方式绘制在井盖上被网友称为“最有学问的井盖”傅里叶变化关系、斯涅耳定理、麦克斯韦方程组……看着这些图形各异的井盖不少文科生感叹“井盖和理科生的世界我不懂”有人认为这些公式都是科学大师呕心沥血之作应该刻在石碑上或是挂在走廊的展板上涂鸦在井盖上是“践踏”高大上的科学也有人认为物理所此举有作秀之嫌曾经有文章探讨过世界上最美的十个公式但除了专业人士之外很少有普通公众了解这些公式“美在何处”？很多时候科学并没有与民众建立起情感上的关联民众即便想走近科学恐怕也找不到合适的路径“把公式刻在石碑上”的惯常思路表明了科学传播经常忽视了受众的情感忽视了平等的交流一味的讲求高高在上的灌输其最终效果也可想而知当前社会在一定程度上科学还尚未走进主流文化的视野科学很多时候仍然自封于自我建构的圈子内不屑与主流文化“水乳交融”在一些人眼中科学需要“谈笑有鸿儒往来无白丁”一段时间以来很多专家学者都在呼吁要让科学成为主流文化此次物理所涂鸦的24个公式应该说是科学传播的上乘佳作它们意在用艺术化的方式来传播科学的感性之美也许参观者未必会理解这些科学公式但一定会被这些艺术化的表达所吸引进而去感受科学之美点燃对科学的热情尤其是对青少年来说尤为重要从科学传播的角度而言物理所的这场“秀”“秀”得很好我们需要更多的这样的“秀”科学端着太久了也该“下来”在民众中走两步“涂鸦”一词最早出现在唐代卢仝《示添丁》诗：“忽来案上翻墨汁涂抹诗书如老鸦”后世用“涂鸦”形容字写得很差（多用作谦词）；也指随意涂画（多指在墙上）这篇社会评论作者的态度和观点各是什么
2016,阅读《蝼蚁壮歌》完成2124题（共1）蝼蚁壮歌金马①兴许是染上了人类容易“自视过高”的通病我自幼对蝼蚁之类的小生灵曾长期瞧它们不起②一天我陪朋友到香山畅游漫步来到双清只见对面石壁上蠕动着一条长长的黑线好奇心驱使我向前仔细查看发现原来是一队蚂蚁正背负着种种食物搬家呢我的朋友正好有丰富的生物学知识看到我认真的神情凑趣说道：“这是蚂蚁发现巢穴面临威胁正在紧张地备战呢！”我不禁伫立良久看着这“猝然临之而不惊”的小生灵竟比临战的人类显得还要镇静不由得生了怜爱之情③随后我不知不觉地真的关心起这小小的生灵来了法布尔所揭示的蚂蚁王国的内幕书刊杂志上有关蚂蚁世界的趣闻、故事我都读得饶有兴味连我自己也不解的是：不论碰上从哪方归国的朋友我都忘不了在谈话之间询问一句：“那儿有关于蚂蚁的趣闻吗？”这个怪问题常常使得对方不解其中滋味记得有一次当我问到一位畅游南美洲后归国的作家不料他却大为动容说道：“哦你也知道这蚁国的壮歌吗？我真乃三生有幸这次亲眼目睹了一幕永难忘怀的情景”④接着这位朋友追述了在南美洲一个森林边缘发生的故事：那一天由于游客的不慎临河的一片草丛起火了顺着风势游走着的火舌活像一串红色的项链开始围向一个小小的丘陵这时一位明眼的巴西向导忽然向我们叫道：“一群蚂蚁被火包围了！”我们随着他指点的方向看去可不是被火舌缩小着的包围圈里已经变成了黑压压的一片“这群可怜的蚂蚁肯定要葬身火海了”我心里惋惜地想着火神肆虐的热浪里已夹杂着蚂蚁被焚烧而发出的焦臭气味可万万没想到这区区的弱者并没有束手待毙竟开始迅速地扭成一团突然向河岸的方向突围滚去蚁团在火舌舐动的草丛间越来越迅速地滚动着并不断发出外层蚂蚁被烧焦后身体爆裂的声响但是蚁团却不见缩小显然这外层被灼焦的蚁国英雄们至死也不松动丝毫肝胆俱裂也不放弃自己的岗位一会儿蚁团冲进了河流里随着向对岸的滚动河面上升腾起一小层薄薄的烟雾……⑤我听着这则蚁国发生的真实故事像听着一曲最悲壮的生命之歌小小的蚂蚁其重不足毫克真正是比毫毛还要轻上十倍、百倍然而在人类往往也要遭到重大伤亡的火灾面前竟然能如此沉着、坚定、团结一致不惜个体牺牲以求得种族的生存其斗争的韧性其脱险方式的“机警”又是如此无以复加地感人怎能不发人深思油然生出敬慕的情感来？⑥逐渐地我自己感到原先那种认为“蝼蚁之命何足挂齿”的想法实在是太无知、太浅薄了⑦蚂蚁──这小生灵就是这样闯进了我心目中的崇敬者群我开始进一步追寻着它们的生命轨迹开始探索它们在生存斗争中那些足以使生命发光的东西⑧原来我以为蚂蚁虽然是昆虫世界的大力士它们十分善于采撷大自然的精英强化自己的肌体但是它们也只能战胜昆虫世界中的相对弱者而在强大的生物如哺乳动物面前却总是被践踏、被捕食的对象然而来自墨西哥热带森林的蚁国新闻却打破了我这固有的评价⑨那里有一种蚂蚁叫做劫蚁又名“游行蚁”或“食肉游蚁”它们往往形成十万到十五万之众的大家族它们昼憩夜袭奇妙的是：当它们昼憩时可以相互钩结成一个中空的大圆球把尊贵的女王可爱的幼蚁和众多猎获物围在里面加以保护；当它们夜袭时则全体出动铺排开宽达五米的横队由体大剽悍〔剽(piāo)悍：敏捷而勇猛〕的大腭兵蚁卫护浩浩荡荡地威武行进一路之上只要是避之不及的大小动物均属劫蚁大军围攻、消灭之列不论是兔、鼠、鸡、犬抑或是熟睡的牛、羊、犬、蟒蛇都难免于难据说著名德国旅行家爱华斯在墨西哥一家乡村旅店里就曾经遭受过劫蚁大军的夜袭虽未丧生却吓得几乎灵魂出窍⑩牛、羊对劫蚁来说不可谓不威武巨蟒于劫蚁来说不可谓不庞然大物矣！但若丧失警觉竟可沦为劫蚁盘中之餐劫蚁的个体不可谓不形微区区不可谓不渺小孱弱兮然而万众一心不畏庞然大物不自菲弱小而能叱咤森林云游四方所向无敌⑪真是区区蝼蚁可讴壮歌矣！（本文选自《中国当代散文精华》有删改）阅读文本依据文章内容填写“我”对蝼蚁的情感态度变化瞧不起①真的关心②
2017,阅读故宫博物院公布的“门票优惠”信息为你和同班同学参观该院提供最经济的建议我和同班同学最佳参观日子应是
2023,诵读活动结束后学校要求每个班级搜集抒发爱国情怀的诗歌编成一部诗集假如你是某班的学生请为班级的诗集取一个富有诗意的名字并说明理由
2024,萧何远虑沛公至咸阳①诸将皆争走②金帛财物之府分之何③独先入收秦丞相御史④律令图书藏之沛公为汉王以何为丞相项王与诸侯屠烧咸阳而去⑤汉王所以具知天下厄塞⑥户口⑦多少强弱之处⑧民所疾苦者以何具⑨得秦图书也何进言⑩韩信汉王以信为大将军司马迁《史记》注释①沛公至咸阳：刘邦于公元前206年率兵攻占秦朝国都咸阳沛公即刘邦②走：奔向趋向③何：萧何④御史：官名掌管律令图籍等⑤去：离开⑥厄塞：险关要塞⑦户口：人口⑧强弱之处：指地方的富庶与贫困⑨具：通“俱”全都⑩进言：指推荐小明对萧何早就有所耳闻听过他慧眼识珠月下追韩信并向汉王推荐的故事今天读了这则故事对萧何的深谋远虑有了更深的认识在文中萧何的远见卓识还体现在他这一做法上
2026,阅读《山居秋暝》完成下列15题山居秋暝王维空山新雨后天气晚来秋明月松间照清泉石上流竹喧归浣女莲动下渔舟随意春芳歇王孙自可留在田字格内用正楷字抄写《山居秋暝》首联
2030,《海底两万里》是一部纯虚构的小说这部书最吸引你的地方是什么？答
2039,文言文阅读阅读下列选段完成9-12题已而夕阳在山人影散乱太守归而宾客从也树林阴翳鸣声上下游人去而禽鸟乐也然而禽鸟知山林之乐而不知人之乐；人知从太守游而乐而不知太守之乐其乐也醉能同其乐醒能述以文者太守也太守谓谁？庐陵欧阳修也（《醉翁亭记》节选）嗟夫！予尝求古仁人之心或异二者之为何哉？不以物喜不以己悲；居庙堂之高则忧其民；处江湖之远则忧其君诗进亦忧退亦忧然则何时而乐耶？其必曰“先天下之忧而后忧后先下之乐而乐”乎噫！微斯人吾谁与归？（《岳阳楼记》节选）下列加点词意思相同的一项是A.居庙堂之高则忧其民佛印居右B.属予作文以记之作亭者谁C.太守归而宾客从也吾谁与归D.醒能述以文者不以物喜
